,MOF,purity,recovery,working_capacity,productivity,spec_heat,spec_cool,el_energy,product_out,n_out_vac,time_steps,rho_b,vac_decay,selectivity,CAPEX,OPEX,CAC,CCC,LCOC,LCOE,spec_heat_tot,spec_cool_tot,spec_power_tot,productivity_tea,CO2_avoided,CO2_captured,spec_CO2_emission,SPECCA,var_OPEX,CAPEX_bd,OPEX_bd,CAC_bd,power_output_ccs,CAC_approx_neg,SPECCA_approx_neg,Climate Change,Climate Change: Biogenic,Climate Change: Fossil,Climate Change: Land Use And Land Use Change,Water Use,Energy Resources: Non-Renewable,Material Resources: Metals/Minerals,Land Use,Acidification,Ecotoxicity: Freshwater,"Ecotoxicity: Freshwater, Inorganics","Ecotoxicity: Freshwater, Metals","Ecotoxicity: Freshwater, Organics",Eutrophication: Freshwater,Eutrophication: Marine,Eutrophication: Terrestrial,Human Toxicity: Carcinogenic,"Human Toxicity: Carcinogenic, Inorganics","Human Toxicity: Carcinogenic, Metals","Human Toxicity: Carcinogenic, Organics",Human Toxicity: Non-Carcinogenic,"Human Toxicity: Non-Carcinogenic, Inorganics","Human Toxicity: Non-Carcinogenic, Metals","Human Toxicity: Non-Carcinogenic, Organics",Particulate Matter Formation,Ozone Depletion,Photochemical Ozone Formation: Human Health,Ionising Radiation: Human Health,nCAC,eff_recovery
0,AlTBAPy,92.20867411212063,94.03494505529557,1.3610238480151675,8.947169449663265,0.09790410511579763,-0.09790410511579763,0.002778774033464998,"[51968.18161225552, 4391.13828108238]","[[1646.9420628609723, 5298.285102619794], [1479.8035556679217, 2529.0954834600675], [51968.18161225552, 4391.13828108238]]","[547.624126313938, 260.56397078862705, 14.729859614128724, 6.1035977818146385, 157.73827405251296, 108.48842407685466]",330.824403,"[[0, 101.325, 310.15, 0.1978], [1, 95.4378965519773, 310.15, 0.20913222496709374], [2, 90.45463415537331, 310.15, 0.21983824996583515], [3, 86.22516360542446, 310.15, 0.2298617399124922], [4, 82.62594482017165, 310.15, 0.23917073046732765], [5, 79.55512267524378, 310.15, 0.24775443062116623], [6, 76.92857024749713, 310.15, 0.2556195068407098], [7, 74.6766518478743, 310.15, 0.26278629308636514], [8, 72.7415816406921, 310.15, 0.26928523447789404], [9, 71.07527292370494, 310.15, 0.2751537468446111], [10, 69.63758967000055, 310.15, 0.28043357442340244], [11, 68.39492632993823, 310.15, 0.2851686571512715], [12, 67.31905442696929, 310.15, 0.2894034744736269], [13, 66.38618529619694, 310.15, 0.2931818087113489], [14, 65.5762075283286, 310.15, 0.29654586174581743]]",42.765776325681465,67.02121623067893,708.5014319490142,92.02215377758326,89.67034706858192,89.67034706858192,,2.2245978194810614,2.8598695371827234,0.42668935393074764,8.947169449663265,100228.45910603959,102857.17607061395,62.030311874766625,0.002366855515895073,"(7540.500807829114, 0, 294.2024462714276)","{'ShellAndTubePackedColumn': 21400697.135010254, 'Material': 1893814.972658087, 'VacuumPump': 207124.5142255135, 'CentrifugalCompressor': 10886179.251922728, 'WasteHeatRecoveryUnit': 1425129.64726847, 'SteamBoiler': 1267751.5288219778, 'ForcedDraughtCoolingTower': 1341981.5679788126}","{'Fixed': 36439679.98864341, 'Electricity': 643774622.2916131, 'Makeup-water': 25117704.18869362, 'Adsorbent': 3422979.5184690673, 'npv_CC': 8781490959.604454}","{'CAC_CAPEX': 9.224883899865814, 'CAC_FixedOPEX': 4.258433197485037, 'CAC_VariableOPEX': 78.53883668023241}",,92.02215377758326,0.002366855515895073,0.025866360217053182,0.0006119211262671214,0.025143667335615596,0.00011077175517039013,0.3093194124207262,2.310513401685935,1.2386287305698723e-07,0.28817351691142395,0.00012268952310107352,2.020694904507319,0.06772109166825382,1.9425967545877911,0.010377058251274086,1.976138834383224e-05,3.435107848199799e-05,0.0002853753264288013,2.0059153557496577e-11,1.1902896785262687e-19,1.5107045849019887e-11,4.952107589447723e-12,3.797382437531952e-10,6.6689941446372e-11,3.071531847449205e-10,8.051820480899233e-12,1.3170336018995591e-09,6.165899839462443e-09,7.075330748005138e-05,0.13755053877260387,92.05138125459045,91.60260329350449
1,AlTCPP,94.3136612583504,95.82025017593142,2.1425635914742704,10.586844351426079,0.07527723639791539,-0.07527723639791539,0.0026807545912699406,"[81169.12573462915, 4893.83126614422]","[[1692.7375180080342, 5517.685897643019], [1724.9140712388503, 2985.637565140352], [81169.12573462915, 4893.83126614422]]","[728.5673306671765, 403.99347659579155, 15.206509365574787, 6.317275797390932, 189.2880490457378, 113.7620198626814]",328.23349650000006,"[[0, 101.325, 310.15, 0.1978], [1, 95.73790903185692, 310.15, 0.208127594828127], [2, 90.97587856346094, 310.15, 0.2178856945855987], [3, 86.90474566500528, 310.15, 0.22703688180431067], [4, 83.41409119442658, 310.15, 0.2355614240897599], [5, 80.41278660268594, 310.15, 0.24345479227224945], [6, 77.82539888819299, 310.15, 0.2507249617533809], [7, 75.58928846885844, 310.15, 0.25738974089063804], [8, 73.65226586005019, 310.15, 0.26347429228355024], [9, 71.97069847181896, 310.15, 0.26900894396957137], [10, 70.50797961525244, 310.15, 0.2740273333248296], [11, 69.23328876756507, 310.15, 0.27856488781928146], [12, 68.12058595922774, 310.15, 0.2826576219642166], [13, 67.14779436409792, 310.15, 0.286341215941603], [14, 66.29613425224682, 310.15, 0.28965033549508024]]",50.16570486428766,60.24321559516421,562.3322285138967,73.04347864059153,71.58778744580334,71.58778744580334,,1.7104653144962119,2.3435874840122883,0.4194649095079371,10.586844351426077,101551.29064624256,103616.27023127339,54.23059760470192,0.00183505585689331,"(5923.414517012043, 0, 242.8703991122019)","{'ShellAndTubePackedColumn': 18363482.791792795, 'Material': 1612315.5364430111, 'VacuumPump': 145379.90049769677, 'CentrifugalCompressor': 10861091.151270894, 'WasteHeatRecoveryUnit': 1425129.64726847, 'SteamBoiler': 1021676.5241066094, 'ForcedDraughtCoolingTower': 1107834.4287985147}","{'Fixed': 33183766.198083017, 'Electricity': 505714943.9473287, 'Makeup-water': 20735200.94208238, 'Adsorbent': 2914182.8205147954, 'npv_CC': 8846299063.073513}","{'CAC_CAPEX': 8.183938473911585, 'CAC_FixedOPEX': 3.8274239096952156, 'CAC_VariableOPEX': 61.03211625698472}",,73.04347864059153,0.00183505585689331,0.020201890434438305,0.0004772063288686654,0.019638296320388174,8.638778518141113e-05,0.2412208776795691,1.8022245645293358,9.669573298666413e-08,0.22475440001131297,9.602932402537696e-05,1.5760054260055163,0.05284201475888726,1.5150684760597277,0.008094935186901261,1.5413334462772002e-05,2.6942788885133593e-05,0.0002243210138462474,1.56667515262555e-11,9.285124521909296e-20,1.1793232139416538e-11,3.8735192939877195e-12,2.963133991255868e-10,5.2078735554775725e-11,2.396190081087025e-10,6.3012495869348044e-12,1.0280628633222477e-09,4.899494484755118e-09,5.559049322190279e-05,0.10726492036653461,73.06381462355043,93.88449998047679
2,AlTCPP-FF2,98.28010177697938,98.52250100972904,1.2234327447004965,9.125143157329227,0.10063427214066045,-0.10063427214066045,0.00248003545169307,"[46348.66693227367, 811.0999933341956]","[[317.28930624437703, 1114.7983495282642], [206.8946330423362, 288.208010012597], [46348.66693227367, 811.0999933341956]]","[482.6617845862779, 232.66165074935023, 3.628844374958466, 5.086079363205678, 142.96334397098687, 98.32186612777667]",328.23349650000006,"[[0, 101.325, 310.15, 0.1978], [1, 68.9381926376067, 310.15, 0.2884424527531093], [2, 62.71717784229719, 310.15, 0.31637136109582975], [3, 60.89928719808056, 310.15, 0.3255884361230122], [4, 60.30563135777588, 310.15, 0.3287162853669519], [5, 60.10479427656962, 310.15, 0.3297881519307727]]",4827.026603855578,65.87354067715908,719.2007460776771,93.26824973478546,90.8415741478157,90.8415741478157,,2.2866332530631914,2.9164568607362438,0.4067110348656161,9.125143157329225,100063.2735148978,102736.29085600821,63.00428352064981,0.002410715958496027,"(7667.576879372421, 0, 299.6711262911957)","{'ShellAndTubePackedColumn': 21124080.83250998, 'Material': 1854696.3070946282, 'VacuumPump': 51207.15879253483, 'CentrifugalCompressor': 10647078.791722527, 'WasteHeatRecoveryUnit': 1425129.64726847, 'SteamBoiler': 1295606.9708064513, 'ForcedDraughtCoolingTower': 1366926.5263933733}","{'Fixed': 35888376.90345116, 'Electricity': 654623815.4745322, 'Makeup-water': 25584595.911655117, 'Adsorbent': 3352274.4110817173, 'npv_CC': 8771170314.416983}","{'CAC_CAPEX': 9.08188417225753, 'CAC_FixedOPEX': 4.20093003784705, 'CAC_VariableOPEX': 79.98543552468087}",,93.26824973478546,0.002410715958496027,0.026334485923183326,0.0006229532299503956,0.025598764405990067,0.0001127682872427927,0.31489653950056584,2.352330143491225,1.2607509377537903e-07,0.29336477405534106,0.00012523489473290512,2.057077559452048,0.0689431105640425,1.9775709231353296,0.010563525752675511,2.0116889452293683e-05,3.51334676142325e-05,0.00029242186603227965,2.0412406114639265e-11,1.2116851969945385e-19,1.5374530796741295e-11,5.0378751967294514e-12,3.8652211171620323e-10,6.787949508137463e-11,3.126458625158018e-10,8.193131990546839e-12,1.3408571321330718e-09,6.253144041379119e-09,7.244599053560284e-05,0.14003112571009677,93.29854332362522,95.92796159377151
3,Ca-SQA,98.06863284550545,98.13065359258269,1.41274889724818,5.0610281698954935,0.09294108095864187,-0.09294108095864187,0.0025115274079228304,"[102527.44243340663, 2019.1791096156692]","[[899.6505881787957, 2892.1834624432768], [978.1191614641132, 1420.5454307368764], [102527.44243340663, 2019.1791096156692]]","[1004.913598455325, 515.6476457644334, 8.469521459789215, 9.573071624557418, 289.0794399689347, 182.14391963761017]",628.7831550000001,"[[0, 101.325, 310.15, 0.1978], [1, 88.7703168669123, 310.15, 0.2208083285899428], [2, 80.44852684744106, 310.15, 0.2400125561987649], [3, 75.16780949592717, 310.15, 0.25614456352530995], [4, 71.33750223645356, 310.15, 0.2693109405495611], [5, 68.5269249221239, 310.15, 0.279889478798035], [6, 66.44461761711015, 310.15, 0.2882921623607371], [7, 64.88966613972183, 310.15, 0.2949111286968738], [8, 63.72112322741111, 310.15, 0.3000933183719833], [9, 62.83851825751507, 310.15, 0.3041324399048307], [10, 62.16921970647557, 310.15, 0.3072701782738514]]",149.72880748489268,65.93670466834406,671.4734968260626,87.68701966385198,85.57114816456475,85.57114816456475,,2.111826933061315,2.7422729894485673,0.40796123493124503,5.061028169895493,100066.92955888467,102541.23040462821,62.98272665751969,0.0022314178482992072,"(7097.556632219046, 0, 281.23843427364943)","{'ShellAndTubePackedColumn': 19844282.242387094, 'Material': 3337708.3199289544, 'VacuumPump': 59145.76292963178, 'CentrifugalCompressor': 10640783.338196537, 'WasteHeatRecoveryUnit': 1425129.64726847, 'SteamBoiler': 1211041.0530965957, 'ForcedDraughtCoolingTower': 1282847.2359276647}","{'Fixed': 35918718.66955964, 'Electricity': 605958006.8416725, 'Makeup-water': 24010894.158438303, 'Adsorbent': 6032747.328903543, 'npv_CC': 8754516915.443693}","{'CAC_CAPEX': 9.090260361226171, 'CAC_FixedOPEX': 4.2043280919863335, 'CAC_VariableOPEX': 74.3924312106395}",,87.68701966385198,0.0022314178482992072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,CALF20,97.20441159505512,97.57193319192007,1.1778900599393936,4.9318369490351355,0.08951188144274369,-0.08951188144274368,0.0025486676242614257,"[87970.43180857078, 2530.0201411285057]","[[1031.4810178703874, 3315.356136791306], [1054.8521085048383, 1639.5026472191967], [87970.43180857078, 2530.0201411285057]]","[859.8021912730528, 439.0524115145079, 9.51823494153668, 7.975437076757898, 251.00638166512817, 152.24972607512217]",647.079615,"[[0, 101.325, 310.15, 0.1978], [1, 91.1662716713803, 310.15, 0.21768351937908847], [2, 83.74713186476421, 310.15, 0.2351431745980933], [3, 78.24947278053624, 310.15, 0.2501390650394468], [4, 74.12392995547533, 310.15, 0.2627994218352843], [5, 70.99444053700451, 310.15, 0.2733478598216802], [6, 68.59877459772353, 310.15, 0.28204855402788176], [7, 66.75084135014484, 310.15, 0.2891702420661719], [8, 65.31640136181551, 310.15, 0.2949653899841903], [9, 64.19715691645527, 310.15, 0.29965995180521177], [10, 63.32015444945722, 310.15, 0.303449829361387]]",107.1237847576204,66.39616422294557,655.9601632803407,85.2081350072228,83.21974388992048,83.21974388992048,,2.0339079351131724,2.664937978532143,0.41057827067192304,4.931836949035136,100919.96973347332,103331.27697856522,57.95300864697343,0.002156226665460859,"(6916.858861023782, 0, 275.4129542130995)","{'ShellAndTubePackedColumn': 19940768.52661154, 'Material': 3451530.3621872845, 'VacuumPump': 79011.00832720454, 'CentrifugalCompressor': 10730507.019482201, 'WasteHeatRecoveryUnit': 1425129.64726847, 'SteamBoiler': 1181120.4286127624, 'ForcedDraughtCoolingTower': 1256274.7618882288}","{'Fixed': 36139426.925648235, 'Electricity': 590530830.0049051, 'Makeup-water': 23513540.425413832, 'Adsorbent': 6238475.198323512, 'npv_CC': 8821967599.11725}","{'CAC_CAPEX': 9.076230920736576, 'CAC_FixedOPEX': 4.1944062131531705, 'CAC_VariableOPEX': 71.93749787333306}",,85.2081350072228,0.002156226665460859,0.023765407510814525,0.000559085520837698,0.023105095651637653,0.00010122633833910666,0.28258885976150355,2.1136973258266707,1.1391712294811505e-07,0.2634373987384671,0.0001149145334324969,1.8469885785073,0.062075140127358146,1.775419208994157,0.009494229385784932,1.8064282126321323e-05,3.266726774801365e-05,0.0002754741937123291,1.839025363463933e-11,1.0893173809454245e-19,1.3843521389064215e-11,4.546732136643384e-12,3.4804833213335387e-10,6.118677428725876e-11,2.8137691432982517e-10,7.481436650234425e-12,1.2084988899782347e-09,6.096992482609378e-09,6.801292192664497e-05,0.12564785416951862,85.24564129378808,95.2530964379961
5,CAU10,93.61474962003177,95.40628152062513,1.7785746563113967,6.941615080267582,0.08629627997456335,-0.08629627997456335,0.0027425615409216917,"[96500.77315717173, 6582.0995192536175]","[[1792.2014644753851, 6065.360768251878], [2716.6476824453075, 4956.065592685672], [96500.77315717173, 6582.0995192536175]]","[922.3889093075747, 468.32925444934205, 16.333214347039945, 9.42720166434973, 255.34101615441742, 172.95822269242564]",470.09371500000003,"[[0, 101.325, 310.15, 0.1978], [1, 96.39607385691185, 310.15, 0.20577357119766948], [2, 92.13804926294894, 310.15, 0.2132834130065876], [3, 88.4447312796827, 310.15, 0.2203274155319455], [4, 85.22931378265368, 310.15, 0.2269100198312507], [5, 82.42039360574185, 310.15, 0.23304099404573084], [6, 79.9588856138683, 310.15, 0.23873429589770442], [7, 77.79561852744929, 310.15, 0.24400704959490743], [8, 75.88944885769938, 310.15, 0.24887865083903407], [9, 74.20577190613257, 310.15, 0.25337000286966965], [10, 72.71533908209008, 310.15, 0.25750287895678675], [11, 71.39331303134094, 310.15, 0.26129940195095286], [12, 70.21850851077261, 310.15, 0.2647816288191497], [13, 69.1727791860411, 310.15, 0.2679712269775006], [14, 68.24051970572019, 310.15, 0.2708892292010512]]",43.703377085922845,65.72193064006791,655.4254136860322,82.65539411538005,80.77564259419219,80.77564259419219,,1.9608423572605045,2.594425220731543,0.4215413181039185,6.941615080267582,103848.48520898982,106265.17100405511,40.68581834322047,0.002100095268147615,"(6932.287285219279, 0, 275.7385986416021)","{'ShellAndTubePackedColumn': 20054992.17241306, 'Material': 2521848.711074047, 'VacuumPump': 163377.1681461788, 'CentrifugalCompressor': 11082058.11003952, 'WasteHeatRecoveryUnit': 1425129.64726847, 'SteamBoiler': 1172643.5503126062, 'ForcedDraughtCoolingTower': 1257760.1636117832}","{'Fixed': 35815548.75882601, 'Electricity': 591848040.6533939, 'Makeup-water': 23541342.50703989, 'Adsorbent': 4558120.308114471, 'npv_CC': 9072450500.218767}","{'CAC_CAPEX': 8.73071486033575, 'CAC_FixedOPEX': 4.039594588573453, 'CAC_VariableOPEX': 69.88508466647087}",,82.65539411538005,0.002100095268147615,0.023060898900718024,0.0005446768818007444,0.02241761699130555,9.860502761166175e-05,0.27532183652293635,2.057400765349606,1.1056884420611178e-07,0.25656447193801,0.00010937265817620937,1.7990716983974073,0.060351663165028144,1.7294766176153713,0.00924341761700822,1.7594942307243988e-05,3.061653044171486e-05,0.00025440306905795927,1.790288148474248e-11,1.0602699917860356e-19,1.3485632455575392e-11,4.417248923140087e-12,3.386760826809875e-10,5.947402293311764e-11,2.7389436566814447e-10,7.237420564870699e-12,1.1740507067102065e-09,5.793811865126468e-09,6.312041791947399e-05,0.12242331091748035,82.68237242556978,93.20612690798455
6,CAU21,86.71343922131692,90.96572199791999,0.2716003482563204,2.5604904290844406,0.34526372155739055,-0.34526372155739066,0.002983486097302274,"[14780.47781892438, 2264.720655098167]","[[770.3257507437654, 2540.2543421942646], [502.5932263155195, 905.5526802693588], [14780.47781892438, 2264.720655098167]]","[381.8648344146997, 70.94740234182042, 7.436774879522705, 7.533633753936299, 150.51865813036497, 145.42836530905532]",471.50239500000004,"[[0, 101.325, 310.15, 0.1978], [1, 87.44555140202493, 310.15, 0.22290342484976514], [2, 78.61630604855391, 310.15, 0.2430433918147299], [3, 72.82539286234613, 310.15, 0.2586479297971576], [4, 68.93695395921851, 310.15, 0.27045278808966783], [5, 66.27916037033383, 310.15, 0.27923923269410156], [6, 64.43828760482027, 310.15, 0.2857071410348054], [7, 63.15070654119506, 310.15, 0.29043242199484876], [8, 62.24364635235516, 310.15, 0.2938666045625456], [9, 61.60130996452151, 310.15, 0.2963534083700669]]",40.35944849594859,140.3826094017947,2445.251322326115,311.660408860291,284.60489426636275,284.60489426636275,,7.845155432594344,8.484486312476157,0.44333840602755087,2.56049042908444,98112.45500743427,107439.36052373727,74.50675113541118,0.008578915841296438,"(26754.321415358787, 0, 911.705194608845)","{'ShellAndTubePackedColumn': 54806602.28948688, 'Material': 6912400.128101565, 'VacuumPump': 327695.9800736081, 'CentrifugalCompressor': 11446230.988347491, 'WasteHeatRecoveryUnit': 1425129.64726847, 'SteamBoiler': 3525417.4770052996, 'ForcedDraughtCoolingTower': 2036648.8580819254}","{'Fixed': 71679920.3729554, 'Electricity': 2284165681.1385827, 'Makeup-water': 77837358.85171095, 'Adsorbent': 12493830.91989442, 'npv_CC': 9172697610.297625}","{'CAC_CAPEX': 19.739167202060994, 'CAC_FixedOPEX': 8.557358160359074, 'CAC_VariableOPEX': 283.3638834978709}",,311.660408860291,0.008578915841296438,0.08777023546418972,0.002078553414299632,0.08531542635434683,0.0003762556955430032,1.050685345743921,7.84833239684951,4.206632561312962e-07,0.9787725826219839,0.00041664445621693264,6.862949013259765,0.229979636894503,6.597727756534528,0.035241619830734386,6.710874055348588e-05,0.00011666345469055825,0.0009691406970073409,6.795194823052787e-11,4.0425282466124954e-19,5.1254861870257367e-11,1.6697085956017672e-11,1.2892556012166574e-09,2.2599953967455265e-10,1.0432358083404504e-09,2.7346074748417544e-11,4.470338696414923e-09,2.0945635810837145e-08,0.00024021593895536908,0.4672300598988188,311.9881693524706,82.98163915899252
7,CuAlPyC,96.40998235224669,97.43549607209472,1.322121560586947,5.290222494033706,0.09501644018869536,-0.09501644018869536,0.002584240844587883,"[89490.29082291234, 3332.349156366643]","[[1012.2635623746678, 3399.408463587416], [1246.3299767097442, 2163.733784327818], [89490.29082291234, 3332.349156366643]]","[899.7046198871428, 432.55498928773704, 9.660665421385708, 8.773067082213988, 269.74787870078427, 178.96801939502177]",586.449045,"[[0, 101.325, 310.15, 0.1978], [1, 91.14594843779716, 310.15, 0.2138203844531674], [2, 83.78059178724862, 310.15, 0.22753767254406637], [3, 78.34352490688873, 310.15, 0.2391139879930451], [4, 74.26439091090619, 310.15, 0.24877490520034645], [5, 71.16367311006962, 310.15, 0.2567682875468655], [6, 68.98360796727708, 310.15, 0.26343992902434515], [7, 67.2592048594119, 310.15, 0.26902545409237366], [8, 65.8813198418836, 310.15, 0.2736839141846775], [9, 64.77528855045135, 310.15, 0.27755647314060056], [10, 63.88413151148421, 310.15, 0.28076728520377325]]",109.39858503482282,69.16859488793996,716.7043214872986,89.85179698564914,87.6226695111443,87.6226695111443,,2.15898368519501,2.7901959879687026,0.4125251872623003,5.290222494033707,104048.48149241402,106695.4828913585,39.506594973973975,0.0022958176877846035,"(7592.949890022663, 0, 297.7461841510887)","{'ShellAndTubePackedColumn': 21179628.41017708, 'Material': 3322467.237881518, 'VacuumPump': 89089.55643719209, 'CentrifugalCompressor': 11004499.377229067, 'WasteHeatRecoveryUnit': 1425129.64726847, 'SteamBoiler': 1274791.7882472582, 'ForcedDraughtCoolingTower': 1358146.052593145}","{'Fixed': 37471205.38377199, 'Electricity': 648252493.0510244, 'Makeup-water': 25420252.861934345, 'Adsorbent': 6005199.80581344, 'npv_CC': 9109188626.740644}","{'CAC_CAPEX': 9.170919154334655, 'CAC_FixedOPEX': 4.218210569020238, 'CAC_VariableOPEX': 76.46266726229425}",,89.85179698564914,0.0022958176877846035,0.02524716850583407,0.0005945420020667307,0.024544814314077203,0.00010781218969007184,0.3004226021041116,2.246366974114999,1.801785021194823e-07,0.28097459592759166,0.0001235479305438723,1.9854819912084667,0.06828373328449437,1.9070791921408927,0.010119065783080073,1.9395968610832878e-05,3.434024337222523e-05,0.0002886368309786262,1.9991237519205965e-11,1.1595300563098746e-19,1.515779616965016e-11,4.833441233602803e-12,4.022037845979254e-10,6.512950871049322e-11,3.297076143277099e-10,9.483702199094445e-12,1.2889657916383325e-09,6.3412765793022065e-09,7.141365029224903e-05,0.13357521396079378,89.8921928514231,94.97552568431301
8,CuAlPyC-FF2,95.17363721303028,97.02958835806038,1.1312802077821857,5.050549267820211,0.10296877125098505,-0.10296877125098505,0.0026278715796577137,"[76572.83400755397, 3883.0950184203984]","[[1001.8521347655105, 3324.871382072857], [1210.513017529956, 2120.1153478160772], [76572.83400755397, 3883.0950184203984]]","[806.3694723195094, 365.1865879621931, 9.527203236597032, 8.705632494790569, 246.3771590357223, 176.57288959020644]",586.449045,"[[0, 101.325, 310.15, 0.1978], [1, 90.36161159622729, 310.15, 0.2156577794889203], [2, 82.79397518650501, 310.15, 0.2304073180907494], [3, 77.68156804362135, 310.15, 0.24231863787146943], [4, 73.96313113714014, 310.15, 0.2521329613371143], [5, 71.1088153541531, 310.15, 0.2603066267121545], [6, 68.88991995729447, 310.15, 0.26709093789958754], [7, 67.14748196774138, 310.15, 0.2727075010927029], [8, 65.76805152211539, 310.15, 0.2773480548384302], [9, 64.66883514602794, 310.15, 0.28117628513161597], [10, 63.7882610251925, 310.15, 0.2843305858862085]]",79.09618233020608,72.4573499671404,783.1867723934384,96.67057971155938,94.07592865043723,94.07592865043723,,2.3396782364606303,2.971239059103135,0.4156241548568666,5.0505492678202115,105233.86772453188,108136.25912767193,32.51728936007148,0.0024889686102378757,"(8325.538661998, 0, 321.34710977438425)","{'ShellAndTubePackedColumn': 22484279.237766184, 'Material': 3527128.979229961, 'VacuumPump': 103306.72953695596, 'CentrifugalCompressor': 11156718.801680187, 'WasteHeatRecoveryUnit': 1425129.64726847, 'SteamBoiler': 1376803.4338796134, 'ForcedDraughtCoolingTower': 1465799.8385323733}","{'Fixed': 39051007.98220168, 'Electricity': 710797683.6150022, 'Makeup-water': 27435195.551562373, 'Adsorbent': 6375116.064246367, 'npv_CC': 9232195732.101122}","{'CAC_CAPEX': 9.498752496120263, 'CAC_FixedOPEX': 4.34653372657209, 'CAC_VariableOPEX': 82.82529348886705}",,96.67057971155938,0.0024889686102378757,0.027299062453766804,0.0006431852083793039,0.02653925169031736,0.00011662555507007445,0.32500663010402114,2.4300258059492603,1.9282320511714369e-07,0.30392006325076537,0.00013348543614063928,2.1470925773951355,0.0737751324119201,2.062372742270969,0.010944702712246932,2.097507641451389e-05,3.7112024928818714e-05,0.0003118159941926939,2.1598909857540266e-11,1.254183643376403e-19,1.637586911908883e-11,5.223040613033077e-12,4.3388932470257297e-10,7.041835764120817e-11,3.5556555871817705e-10,1.0193883729932881e-11,1.3937907357242103e-09,6.809873223801714e-09,7.714610603294783e-05,0.1445077169185863,96.71618996045815,94.3807715656104
9,DAZMID,44.07077330417295,75.27759971979962,0.0316300118209269,0.394276458722318,2.6624122325984847,-2.6624122325984847,0.00568254846922126,"[1708.2079264636695, 2167.848240451658]","[[252.85434950154428, 1061.758580951848], [22.635341041428006, 114.9680244382685], [1708.2079264636695, 2167.848240451658]]","[288.80253952857, 5.746414389414746, 3.4018873131345737, 7.038217955702052, 134.54234853930748, 138.07367133101116]",467.915175,"[[0, 101.325, 310.15, 0.1978], [1, 66.82085662309076, 310.15, 0.16659342336865066], [2, 61.33042650498146, 310.15, 0.1611895864309717], [3, 60.264164895225235, 310.15, 0.16011318740147168], [4, 60.052638574265345, 310.15, 0.1598985434029985]]",92.04935475093528,1127.5713513072608,26227.00181433921,6189.068676919384,2105.2926764364197,2105.2926764364197,,60.49589483702459,61.16882306906236,0.5585053247931729,0.3942764587223179,52148.570653033035,153304.61592690166,345.52022020617335,0.1750525356472332,"(290167.12387973384, 0, 9378.876497342471)","{'ShellAndTubePackedColumn': 511756984.1243761, 'Material': 64053519.24905248, 'VacuumPump': 1245342.844232955, 'CentrifugalCompressor': 19739481.763109427, 'WasteHeatRecoveryUnit': 1425129.64726847, 'SteamBoiler': 40075568.18445559, 'ForcedDraughtCoolingTower': 8130793.732186}","{'Fixed': 545890769.7810384, 'Electricity': 24773186203.11894, 'Makeup-water': 800727011.1724349, 'Adsorbent': 115773656.6881369, 'npv_CC': 13088470345.554615}","{'CAC_CAPEX': 298.29177726464786, 'CAC_FixedOPEX': 122.61106927604426, 'CAC_VariableOPEX': 5768.165830378693}",,6189.068676919384,0.1750525356472332,0.6660658164110073,0.01579700999588005,0.6474093631909552,0.0028594432241702446,7.985293279878585,59.63835476715882,3.1925416088141754e-06,7.437783306595418,0.0031642279614558892,52.15151941042174,1.7468058436819396,50.13698095969218,0.2677326070476223,0.0005099281200472581,0.0008861475094131356,0.0073606777915019485,5.154824484874743e-10,3.071166426149064e-18,3.889909700697035e-10,1.2649147534660463e-10,9.790384449342616e-09,1.7151365597221706e-09,7.923948753393108e-09,2.068603823839009e-10,3.3943919609923994e-08,1.5488984631281292e-07,0.0018237164846160617,3.551115689533298,6304.513823082038,25.137763804970277
