,MOF,purity,recovery,working_capacity,productivity,spec_heat,spec_cool,el_energy,product_out,n_out_vac,time_steps,rho_b,vac_decay,selectivity,CAPEX,OPEX,CAC,CCC,LCOC,LCOE,spec_heat_tot,spec_cool_tot,spec_power_tot,productivity_tea,CO2_avoided,CO2_captured,spec_CO2_emission,SPECCA,var_OPEX,CAPEX_bd,OPEX_bd,CAC_bd,power_output_ccs,CAC_approx_neg,SPECCA_approx_neg,Climate Change,Climate Change: Biogenic,Climate Change: Fossil,Climate Change: Land Use And Land Use Change,Water Use,Energy Resources: Non-Renewable,Material Resources: Metals/Minerals,Land Use,Acidification,Ecotoxicity: Freshwater,"Ecotoxicity: Freshwater, Inorganics","Ecotoxicity: Freshwater, Metals","Ecotoxicity: Freshwater, Organics",Eutrophication: Freshwater,Eutrophication: Marine,Eutrophication: Terrestrial,Human Toxicity: Carcinogenic,"Human Toxicity: Carcinogenic, Inorganics","Human Toxicity: Carcinogenic, Metals","Human Toxicity: Carcinogenic, Organics",Human Toxicity: Non-Carcinogenic,"Human Toxicity: Non-Carcinogenic, Inorganics","Human Toxicity: Non-Carcinogenic, Metals","Human Toxicity: Non-Carcinogenic, Organics",Particulate Matter Formation,Ozone Depletion,Photochemical Ozone Formation: Human Health,Ionising Radiation: Human Health,nCAC,eff_recovery
0,AlTBAPy,92.20867411212063,94.03494505529557,1.3610238480151675,8.947169449663265,0.09790410511579763,-0.09790410511579763,0.002778774033464998,"[51968.18161225552, 4391.13828108238]","[[1646.9420628609723, 5298.285102619794], [1479.8035556679217, 2529.0954834600675], [51968.18161225552, 4391.13828108238]]","[547.624126313938, 260.56397078862705, 14.729859614128724, 6.1035977818146385, 157.73827405251296, 108.48842407685466]",330.824403,"[[0, 101.325, 310.15, 0.1978], [1, 95.4378965519773, 310.15, 0.20913222496709374], [2, 90.45463415537331, 310.15, 0.21983824996583515], [3, 86.22516360542446, 310.15, 0.2298617399124922], [4, 82.62594482017165, 310.15, 0.23917073046732765], [5, 79.55512267524378, 310.15, 0.24775443062116623], [6, 76.92857024749713, 310.15, 0.2556195068407098], [7, 74.6766518478743, 310.15, 0.26278629308636514], [8, 72.7415816406921, 310.15, 0.26928523447789404], [9, 71.07527292370494, 310.15, 0.2751537468446111], [10, 69.63758967000055, 310.15, 0.28043357442340244], [11, 68.39492632993823, 310.15, 0.2851686571512715], [12, 67.31905442696929, 310.15, 0.2894034744736269], [13, 66.38618529619694, 310.15, 0.2931818087113489], [14, 65.5762075283286, 310.15, 0.29654586174581743]]",42.765776325681465,51.60633649762277,330.81986241976745,62.28759604822354,44.594027945651014,44.594027945651014,,2.2245978194810614,2.8598695371827234,0.42668935393074764,8.947169449663265,73639.31304320294,102857.17607061395,218.80593724526588,0.8712910928752544,"(1079.08325925453, 2164.3527369065737, 294.2024462714276)","{'ShellAndTubePackedColumn': 21400697.135010254, 'Material': 1893814.972658087, 'VacuumPump': 207124.5142255135, 'CentrifugalCompressor': 10886179.251922728, 'WasteHeatRecoveryUnit': 1425129.64726847, 'SteamBoiler': 1267751.5288219778, 'ForcedDraughtCoolingTower': 1341981.5679788126}","{'Fixed': 25622506.68383999, 'Electricity': 92127358.02992189, 'Heat': 184782868.03724796, 'Makeup-water': 25117704.18869362, 'Adsorbent': 3422979.5184690673, 'npv_CC': 8781490959.604454}","{'CAC_CAPEX': 9.66791802625017, 'CAC_FixedOPEX': 4.075474918458098, 'CAC_VariableOPEX': 48.54420310351529}",,62.28759604822354,0.8712910928752544,0.2846325048101837,3.572698657899197e-05,0.2845747454262734,2.203239733130273e-05,0.01599618206229483,3.4667269635549776,7.735894004329595e-08,0.3340190217040168,0.0008838426828065552,4.690905217622318,0.7483637052359081,3.9360433129429415,0.006498199443468522,2.699308340977281e-05,0.00018650481345195444,0.001983942093149733,4.4439314119508724e-11,6.257180027796589e-20,2.8506299937093373e-11,1.5933014119843554e-11,1.6766219979000078e-09,1.9702299257412459e-10,1.4725204836594215e-09,5.7515018266064084e-11,1.1130573221440426e-08,1.632264186023475e-08,0.0005690822292171176,0.002505998559221281,62.33722980916038,67.26954310451879
1,AlTCPP,94.3136612583504,95.82025017593142,2.1425635914742704,10.586844351426079,0.07527723639791539,-0.07527723639791539,0.0026807545912699406,"[81169.12573462915, 4893.83126614422]","[[1692.7375180080342, 5517.685897643019], [1724.9140712388503, 2985.637565140352], [81169.12573462915, 4893.83126614422]]","[728.5673306671765, 403.99347659579155, 15.206509365574787, 6.317275797390932, 189.2880490457378, 113.7620198626814]",328.23349650000006,"[[0, 101.325, 310.15, 0.1978], [1, 95.73790903185692, 310.15, 0.208127594828127], [2, 90.97587856346094, 310.15, 0.2178856945855987], [3, 86.90474566500528, 310.15, 0.22703688180431067], [4, 83.41409119442658, 310.15, 0.2355614240897599], [5, 80.41278660268594, 310.15, 0.24345479227224945], [6, 77.82539888819299, 310.15, 0.2507249617533809], [7, 75.58928846885844, 310.15, 0.25738974089063804], [8, 73.65226586005019, 310.15, 0.26347429228355024], [9, 71.97069847181896, 310.15, 0.26900894396957137], [10, 70.50797961525244, 310.15, 0.2740273333248296], [11, 69.23328876756507, 310.15, 0.27856488781928146], [12, 68.12058595922774, 310.15, 0.2826576219642166], [13, 67.14779436409792, 310.15, 0.286341215941603], [14, 66.29613425224682, 310.15, 0.28965033549508024]]",50.16570486428766,46.38727600827644,273.39028213917794,48.89527905444688,37.0805278164181,37.0805278164181,,1.7104653144962119,2.3435874840122883,0.4194649095079371,10.586844351426077,78579.07889769565,103616.27023127339,189.6799593296248,0.6054351468500745,"(1053.1437305339994, 1603.837497672389, 242.8703991122019)","{'ShellAndTubePackedColumn': 18363482.791792795, 'Material': 1612315.5364430111, 'VacuumPump': 145379.90049769677, 'CentrifugalCompressor': 10861091.151270894, 'WasteHeatRecoveryUnit': 1425129.64726847, 'SteamBoiler': 1021676.5241066094, 'ForcedDraughtCoolingTower': 1107834.4287985147}","{'Fixed': 23115453.065108497, 'Electricity': 89912755.74685553, 'Heat': 136928554.95872888, 'Makeup-water': 20735200.94208238, 'Adsorbent': 2914182.8205147954, 'npv_CC': 8846299063.073513}","{'CAC_CAPEX': 8.143884291026488, 'CAC_FixedOPEX': 3.445575847176617, 'CAC_VariableOPEX': 37.30581891624378}",,48.89527905444688,0.6054351468500745,0.24212836119825062,3.0453271110565155e-05,0.2420782170417706,1.9690885369382676e-05,0.015178950412361931,2.835480873708463,6.98358116193419e-08,0.3065304036526009,0.0008191503366245691,4.308965057111342,0.6193588958078127,3.6842700088015548,0.005336152501975257,2.5705456887621844e-05,0.0001737358663652589,0.001848657712608126,3.9070693566721406e-11,5.0954041067171304e-20,2.6633582758065843e-11,1.243711075770152e-11,1.5517936788470247e-09,1.676908580330384e-10,1.3783282512689852e-09,5.0559191247972194e-11,1.059796477918719e-08,1.2312834082552843e-08,0.0005192489896397008,0.002295155055741589,48.92718755783648,72.61945003122676
2,AlTCPP-FF2,98.28010177697938,98.52250100972904,1.2234327447004965,9.125143157329227,0.10063427214066045,-0.10063427214066045,0.00248003545169307,"[46348.66693227367, 811.0999933341956]","[[317.28930624437703, 1114.7983495282642], [206.8946330423362, 288.208010012597], [46348.66693227367, 811.0999933341956]]","[482.6617845862779, 232.66165074935023, 3.628844374958466, 5.086079363205678, 142.96334397098687, 98.32186612777667]",328.23349650000006,"[[0, 101.325, 310.15, 0.1978], [1, 68.9381926376067, 310.15, 0.2884424527531093], [2, 62.71717784229719, 310.15, 0.31637136109582975], [3, 60.89928719808056, 310.15, 0.3255884361230122], [4, 60.30563135777588, 310.15, 0.3287162853669519], [5, 60.10479427656962, 310.15, 0.3297881519307727]]",4827.026603855578,50.72262632141249,332.57719534337275,62.373794634100015,44.72818723500252,44.72818723500252,,2.2866332530631914,2.9164568607362438,0.4067110348656161,9.125143157329225,73672.09386880868,102736.29085600821,218.6126540754206,0.8974699101964173,"(1033.6064103507927, 2230.683468026651, 299.6711262911957)","{'ShellAndTubePackedColumn': 21124080.83250998, 'Material': 1854696.3070946282, 'VacuumPump': 51207.15879253483, 'CentrifugalCompressor': 10647078.791722527, 'WasteHeatRecoveryUnit': 1425129.64726847, 'SteamBoiler': 1295606.9708064513, 'ForcedDraughtCoolingTower': 1366926.5263933733}","{'Fixed': 25198003.308241963, 'Electricity': 88244745.72443433, 'Heat': 190445892.61100283, 'Makeup-water': 25584595.911655117, 'Adsorbent': 3352274.4110817173, 'npv_CC': 8771170314.416983}","{'CAC_CAPEX': 9.498135853375866, 'CAC_FixedOPEX': 4.00617072829227, 'CAC_VariableOPEX': 48.86948805243188}",,62.373794634100015,0.8974699101964173,0.2834745290492735,3.556364946512023e-05,0.2834173192746196,2.1646125188663383e-05,0.015440580298410278,3.4882505207395567,7.579453343253601e-08,0.3256557519181253,0.0008596213411948042,4.572159260128037,0.7507327595817309,3.814894636311593,0.00653186423471443,2.6024828729869634e-05,0.00018123399226176144,0.0019279097942445059,4.386388257863599e-11,6.303542252736275e-20,2.7642712064897065e-11,1.6221170450703506e-11,1.630495046247338e-09,1.9620156739053522e-10,1.4271654765314564e-09,5.677177172224609e-11,1.073225198302741e-08,1.6750930643945644e-08,0.0005563032551558513,0.0024446842216165232,62.423722600753656,70.59388143523952
3,Ca-SQA,98.06863284550545,98.13065359258269,1.41274889724818,5.0610281698954935,0.09294108095864187,-0.09294108095864187,0.0025115274079228304,"[102527.44243340663, 2019.1791096156692]","[[899.6505881787957, 2892.1834624432768], [978.1191614641132, 1420.5454307368764], [102527.44243340663, 2019.1791096156692]]","[1004.913598455325, 515.6476457644334, 8.469521459789215, 9.573071624557418, 289.0794399689347, 182.14391963761017]",628.7831550000001,"[[0, 101.325, 310.15, 0.1978], [1, 88.7703168669123, 310.15, 0.2208083285899428], [2, 80.44852684744106, 310.15, 0.2400125561987649], [3, 75.16780949592717, 310.15, 0.25614456352530995], [4, 71.33750223645356, 310.15, 0.2693109405495611], [5, 68.5269249221239, 310.15, 0.279889478798035], [6, 66.44461761711015, 310.15, 0.2882921623607371], [7, 64.88966613972183, 310.15, 0.2949111286968738], [8, 63.72112322741111, 310.15, 0.3000933183719833], [9, 62.83851825751507, 310.15, 0.3041324399048307], [10, 62.16921970647557, 310.15, 0.3072701782738514]]",149.72880748489268,50.771262594624936,316.05670968223956,58.77154103350289,42.93273405014608,42.93273405014608,,2.111826933061315,2.7422729894485673,0.40796123493124503,5.061028169895493,74906.5839813026,102541.23040462821,211.3338208649613,0.8038259703491937,"(1028.8112294242258, 2031.0634444647062, 281.23843427364943)","{'ShellAndTubePackedColumn': 19844282.242387094, 'Material': 3337708.3199289544, 'VacuumPump': 59145.76292963178, 'CentrifugalCompressor': 10640783.338196537, 'WasteHeatRecoveryUnit': 1425129.64726847, 'SteamBoiler': 1211041.0530965957, 'ForcedDraughtCoolingTower': 1282847.2359276647}","{'Fixed': 25221366.4681455, 'Electricity': 87835354.37649953, 'Heat': 173403217.52276394, 'Makeup-water': 24010894.158438303, 'Adsorbent': 6032747.328903543, 'npv_CC': 8754516915.443693}","{'CAC_CAPEX': 9.350560178644132, 'CAC_FixedOPEX': 3.9438006888345427, 'CAC_VariableOPEX': 45.477180166024205}",,58.77154103350289,0.8038259703491937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,CALF20,97.20441159505512,97.57193319192007,1.1778900599393936,4.9318369490351355,0.08951188144274369,-0.08951188144274368,0.0025486676242614257,"[87970.43180857078, 2530.0201411285057]","[[1031.4810178703874, 3315.356136791306], [1054.8521085048383, 1639.5026472191967], [87970.43180857078, 2530.0201411285057]]","[859.8021912730528, 439.0524115145079, 9.51823494153668, 7.975437076757898, 251.00638166512817, 152.24972607512217]",647.079615,"[[0, 101.325, 310.15, 0.1978], [1, 91.1662716713803, 310.15, 0.21768351937908847], [2, 83.74713186476421, 310.15, 0.2351431745980933], [3, 78.24947278053624, 310.15, 0.2501390650394468], [4, 74.12392995547533, 310.15, 0.2627994218352843], [5, 70.99444053700451, 310.15, 0.2733478598216802], [6, 68.59877459772353, 310.15, 0.28204855402788176], [7, 66.75084135014484, 310.15, 0.2891702420661719], [8, 65.31640136181551, 310.15, 0.2949653899841903], [9, 64.19715691645527, 310.15, 0.29965995180521177], [10, 63.32015444945722, 310.15, 0.303449829361387]]",107.1237847576204,51.12504645166809,310.9750713673866,57.19329496424447,42.07569256041323,42.07569256041323,,2.0339079351131724,2.664937978532143,0.41057827067192304,4.931836949035136,76018.26481134002,103331.27697856522,204.7790989897407,0.7650937996542175,"(1040.2526448482656, 1961.7047795661795, 275.4129542130995)","{'ShellAndTubePackedColumn': 19940768.52661154, 'Material': 3451530.3621872845, 'VacuumPump': 79011.00832720454, 'CentrifugalCompressor': 10730507.019482201, 'WasteHeatRecoveryUnit': 1425129.64726847, 'SteamBoiler': 1181120.4286127624, 'ForcedDraughtCoolingTower': 1256274.7618882288}","{'Fixed': 25391311.82533371, 'Electricity': 88812171.84271412, 'Heat': 167481681.34955126, 'Makeup-water': 23513540.425413832, 'Adsorbent': 6238475.198323512, 'npv_CC': 8821967599.11725}","{'CAC_CAPEX': 9.278022500352368, 'CAC_FixedOPEX': 3.912312388825466, 'CAC_VariableOPEX': 44.002960075066625}",,57.19329496424447,0.7650937996542175,0.26525767928879673,3.342557966551001e-05,0.2652034472475984,2.0806461532783878e-05,0.01534109038011721,3.203269320304499,7.384020489939605e-08,0.3170439199294971,0.0008431394630934238,4.452020815906819,0.6931299605198389,3.752869712152796,0.006021143234183872,2.5853248642782624e-05,0.0001787996973287027,0.0019031606192458984,4.180169841564375e-11,5.792038365198638e-20,2.7198569027038584e-11,1.4603129330684776e-11,1.594809829104741e-09,1.838326659057941e-10,1.40434963315917e-09,5.4111653355711954e-11,1.0660805533302362e-08,1.5242345288628967e-08,0.0005422954049306389,0.0023790834097762083,57.26591673620423,71.69022862970984
5,CAU10,93.61474962003177,95.40628152062513,1.7785746563113967,6.941615080267582,0.08629627997456335,-0.08629627997456335,0.0027425615409216917,"[96500.77315717173, 6582.0995192536175]","[[1792.2014644753851, 6065.360768251878], [2716.6476824453075, 4956.065592685672], [96500.77315717173, 6582.0995192536175]]","[922.3889093075747, 468.32925444934205, 16.333214347039945, 9.42720166434973, 255.34101615441742, 172.95822269242564]",470.09371500000003,"[[0, 101.325, 310.15, 0.1978], [1, 96.39607385691185, 310.15, 0.20577357119766948], [2, 92.13804926294894, 310.15, 0.2132834130065876], [3, 88.4447312796827, 310.15, 0.2203274155319455], [4, 85.22931378265368, 310.15, 0.2269100198312507], [5, 82.42039360574185, 310.15, 0.23304099404573084], [6, 79.9588856138683, 310.15, 0.23873429589770442], [7, 77.79561852744929, 310.15, 0.24400704959490743], [8, 75.88944885769938, 310.15, 0.24887865083903407], [9, 74.20577190613257, 310.15, 0.25337000286966965], [10, 72.71533908209008, 310.15, 0.25750287895678675], [11, 71.39331303134094, 310.15, 0.26129940195095286], [12, 70.21850851077261, 310.15, 0.2647816288191497], [13, 69.1727791860411, 310.15, 0.2679712269775006], [14, 68.24051970572019, 310.15, 0.2708892292010512]]",43.703377085922845,50.605886592852286,312.079973937816,55.547943190232004,40.96840540118356,40.96840540118356,,1.9608423572605045,2.594425220731543,0.4215413181039185,6.941615080267582,78374.0019105835,106265.17100405511,190.8891396781634,0.734804426758603,"(1093.5407146916748, 1942.1777789791797, 275.7385986416021)","{'ShellAndTubePackedColumn': 20054992.17241306, 'Material': 2521848.711074047, 'VacuumPump': 163377.1681461788, 'CentrifugalCompressor': 11082058.11003952, 'WasteHeatRecoveryUnit': 1425129.64726847, 'SteamBoiler': 1172643.5503126062, 'ForcedDraughtCoolingTower': 1257760.1636117832}","{'Fixed': 25141925.636880603, 'Electricity': 93361671.65849178, 'Heat': 165814552.36863112, 'Makeup-water': 23541342.50703989, 'Adsorbent': 4558120.308114471, 'npv_CC': 9072450500.218767}","{'CAC_CAPEX': 8.907763391173575, 'CAC_FixedOPEX': 3.7574469050433885, 'CAC_VariableOPEX': 42.88273289401506}",,55.547943190232004,0.734804426758603,0.2631298353984869,3.310572526867956e-05,0.2630758895170814,2.084015613678495e-05,0.015567776870875245,3.1502858521050707,7.374041812170374e-08,0.31968399781402573,0.0008496302019755116,4.491057827767584,0.6834514581911152,3.8016860233000744,0.005920346276395139,2.6287122499950055e-05,0.00017968104498646974,0.0019115077392453785,4.1729953023173464e-11,5.680009929556054e-20,2.754040173524966e-11,1.4189551231123705e-11,1.6112909099375258e-09,1.8224425389323386e-10,1.4225712368511522e-09,5.4016884539728786e-11,1.0837831772931153e-08,1.4587917355966223e-08,0.0005430326194075294,0.0023970716047559894,55.5978615626792,70.30204236812133
6,CAU21,86.71343922131692,90.96572199791999,0.2716003482563204,2.5604904290844406,0.34526372155739055,-0.34526372155739066,0.002983486097302274,"[14780.47781892438, 2264.720655098167]","[[770.3257507437654, 2540.2543421942646], [502.5932263155195, 905.5526802693588], [14780.47781892438, 2264.720655098167]]","[381.8648344146997, 70.94740234182042, 7.436774879522705, 7.533633753936299, 150.51865813036497, 145.42836530905532]",471.50239500000004,"[[0, 101.325, 310.15, 0.1978], [1, 87.44555140202493, 310.15, 0.22290342484976514], [2, 78.61630604855391, 310.15, 0.2430433918147299], [3, 72.82539286234613, 310.15, 0.2586479297971576], [4, 68.93695395921851, 310.15, 0.27045278808966783], [5, 66.27916037033383, 310.15, 0.27923923269410156], [6, 64.43828760482027, 310.15, 0.2857071410348054], [7, 63.15070654119506, 310.15, 0.29043242199484876], [8, 62.24364635235516, 310.15, 0.2938666045625456], [9, 61.60130996452151, 310.15, 0.2963534083700669]]",40.35944849594859,108.09460923938191,1012.7651367503005,463.3528049742356,124.29053423571618,124.29053423571618,,7.845155432594344,8.484486312476157,0.44333840602755087,2.56049042908444,28819.714425126964,107439.36052373727,483.0724385310911,9.077450486277451,"(1360.4948906714735, 8836.8230604887, 911.705194608845)","{'ShellAndTubePackedColumn': 54806602.28948688, 'Material': 6912400.128101565, 'VacuumPump': 327695.9800736081, 'CentrifugalCompressor': 11446230.988347491, 'WasteHeatRecoveryUnit': 1425129.64726847, 'SteamBoiler': 3525417.4770052996, 'ForcedDraughtCoolingTower': 2036648.8580819254}","{'Fixed': 52757491.77976022, 'Electricity': 116153038.99474716, 'Heat': 754448885.1612167, 'Makeup-water': 77837358.85171095, 'Adsorbent': 12493830.91989442, 'npv_CC': 9172697610.297625}","{'CAC_CAPEX': 51.743287826512976, 'CAC_FixedOPEX': 21.441778482888328, 'CAC_VariableOPEX': 390.1677386648343}",,463.3528049742356,9.077450486277451,0.7336364627433941,9.15504769548958e-05,0.7334990688536054,4.584341283395349e-05,0.023106159964165443,10.251803715523243,1.5383075983426048e-07,0.6017154279171907,0.0015022621346438556,8.4010640575681,2.128544784792644,6.253530223507452,0.018989049268003072,3.781098783215183e-05,0.0003077128983988387,0.0032684618232673183,9.995708361302709e-11,1.8786656555841626e-19,4.59305127170069e-11,5.4026570708153637e-11,2.8682010160738146e-09,5.070042994639145e-10,2.3398873085660246e-09,1.295457972279642e-10,1.561198941802843e-08,6.13105183149793e-08,0.001064083485146801,0.004570770997492315,466.61992672059597,24.229951480467015
7,CuAlPyC,96.40998235224669,97.43549607209472,1.322121560586947,5.290222494033706,0.09501644018869536,-0.09501644018869536,0.002584240844587883,"[89490.29082291234, 3332.349156366643]","[[1012.2635623746678, 3399.408463587416], [1246.3299767097442, 2163.733784327818], [89490.29082291234, 3332.349156366643]]","[899.7046198871428, 432.55498928773704, 9.660665421385708, 8.773067082213988, 269.74787870078427, 178.96801939502177]",586.449045,"[[0, 101.325, 310.15, 0.1978], [1, 91.14594843779716, 310.15, 0.2138203844531674], [2, 83.78059178724862, 310.15, 0.22753767254406637], [3, 78.34352490688873, 310.15, 0.2391139879930451], [4, 74.26439091090619, 310.15, 0.24877490520034645], [5, 71.16367311006962, 310.15, 0.2567682875468655], [6, 68.98360796727708, 310.15, 0.26343992902434515], [7, 67.2592048594119, 310.15, 0.26902545409237366], [8, 65.8813198418836, 310.15, 0.2736839141846775], [9, 64.77528855045135, 310.15, 0.27755647314060056], [10, 63.88413151148421, 310.15, 0.28076728520377325]]",109.39858503482282,53.25981806371377,336.0735248255846,60.42099757585327,43.78032012834156,43.78032012834156,,2.15898368519501,2.7901959879687026,0.4125251872623003,5.290222494033707,77310.24949343862,106695.4828913585,197.1612647792536,0.8363209165382349,"(1083.0554871162094, 2181.0643449714557, 297.7461841510887)","{'ShellAndTubePackedColumn': 21179628.41017708, 'Material': 3322467.237881518, 'VacuumPump': 89089.55643719209, 'CentrifugalCompressor': 11004499.377229067, 'WasteHeatRecoveryUnit': 1425129.64726847, 'SteamBoiler': 1274791.7882472582, 'ForcedDraughtCoolingTower': 1358146.052593145}","{'Fixed': 26416781.238089018, 'Electricity': 92466489.28346594, 'Heat': 186209631.2515274, 'Makeup-water': 25420252.861934345, 'Adsorbent': 6005199.80581344, 'npv_CC': 9109188626.740644}","{'CAC_CAPEX': 9.503908834545726, 'CAC_FixedOPEX': 4.002295614501465, 'CAC_VariableOPEX': 46.91479312680608}",,60.42099757585327,0.8363209165382349,0.27631340516793446,3.5026828318420676e-05,0.2762567573286821,2.1621010933929728e-05,0.01557421073649903,3.3677225754945646,1.3493489969784486e-07,0.32504663565538017,0.0008613455624047097,4.57208942548415,0.728999395805608,3.836738391313022,0.006351638365521227,2.6371398764232506e-05,0.0001817968349061854,0.0019349092981189116,4.363733560861481e-11,6.11194341217888e-20,2.812384932270604e-11,1.551348622478934e-11,1.6590794133951633e-09,1.9157235453170797e-10,1.4589923747854917e-09,5.7457914811883043e-11,1.079931490114927e-08,1.6206505726544964e-08,0.0005545478751744982,0.00244152389760281,60.49624304358016,70.51276236818732
8,CuAlPyC-FF2,95.17363721303028,97.02958835806038,1.1312802077821857,5.050549267820211,0.10296877125098505,-0.10296877125098505,0.0026278715796577137,"[76572.83400755397, 3883.0950184203984]","[[1001.8521347655105, 3324.871382072857], [1210.513017529956, 2120.1153478160772], [76572.83400755397, 3883.0950184203984]]","[806.3694723195094, 365.1865879621931, 9.527203236597032, 8.705632494790569, 246.3771590357223, 176.57288959020644]",586.449045,"[[0, 101.325, 310.15, 0.1978], [1, 90.36161159622729, 310.15, 0.2156577794889203], [2, 82.79397518650501, 310.15, 0.2304073180907494], [3, 77.68156804362135, 310.15, 0.24231863787146943], [4, 73.96313113714014, 310.15, 0.2521329613371143], [5, 71.1088153541531, 310.15, 0.2603066267121545], [6, 68.88991995729447, 310.15, 0.26709093789958754], [7, 67.14748196774138, 310.15, 0.2727075010927029], [8, 65.76805152211539, 310.15, 0.2773480548384302], [9, 64.66883514602794, 310.15, 0.28117628513161597], [10, 63.7882610251925, 310.15, 0.2843305858862085]]",79.09618233020608,55.79215947469812,363.0851838824491,65.49239280806046,46.44588021711338,46.44588021711338,,2.3396782364606303,2.971239059103135,0.4156241548568666,5.0505492678202115,76688.04762241704,108136.25912767193,200.82990788669207,0.9381035422491046,"(1111.4607608868173, 2427.184334648327, 321.34710977438425)","{'ShellAndTubePackedColumn': 22484279.237766184, 'Material': 3527128.979229961, 'VacuumPump': 103306.72953695596, 'CentrifugalCompressor': 11156718.801680187, 'WasteHeatRecoveryUnit': 1425129.64726847, 'SteamBoiler': 1376803.4338796134, 'ForcedDraughtCoolingTower': 1465799.8385323733}","{'Fixed': 27633229.238879878, 'Electricity': 94891605.97780755, 'Heat': 207222267.8695267, 'Makeup-water': 27435195.551562373, 'Adsorbent': 6375116.064246367, 'npv_CC': 9232195732.101122}","{'CAC_CAPEX': 10.036566074256084, 'CAC_FixedOPEX': 4.220562118180371, 'CAC_VariableOPEX': 51.23526461562399}",,65.49239280806046,0.9381035422491046,0.29176413706467236,3.6959760772957546e-05,0.29170468684673556,2.2490457163756653e-05,0.01588574308771381,3.596422320370034,1.405366226332316e-07,0.3352545076927893,0.0008856596910992361,4.7143408300035485,0.7758828249789356,3.931683559689369,0.006774445335245405,2.6869098288900666e-05,0.00018664367850210672,0.001986374223023005,4.562118776625916e-11,6.534231277789019e-20,2.8843623438527412e-11,1.6777564262389447e-11,1.7069346466343566e-09,2.0224730991319356e-10,1.495623757366874e-09,6.007561756829831e-11,1.1001709054469335e-08,1.7662589876189957e-08,0.0005731702326610069,0.0025198584566674506,65.5796785333851,68.71983424103051
9,DAZMID,44.07077330417295,75.27759971979962,0.0316300118209269,0.394276458722318,2.6624122325984847,-2.6624122325984847,0.00568254846922126,"[1708.2079264636695, 2167.848240451658]","[[252.85434950154428, 1061.758580951848], [22.635341041428006, 114.9680244382685], [1708.2079264636695, 2167.848240451658]]","[288.80253952857, 5.746414389414746, 3.4018873131345737, 7.038217955702052, 134.54234853930748, 138.07367133101116]",467.915175,"[[0, 101.325, 310.15, 0.1978], [1, 66.82085662309076, 310.15, 0.16659342336865066], [2, 61.33042650498146, 310.15, 0.1611895864309717], [3, 60.264164895225235, 310.15, 0.16011318740147168], [4, 60.052638574265345, 310.15, 0.1598985434029985]]",92.04935475093528,868.229940506591,10322.120934067829,-221.63034087436188,866.7725124466774,866.7725124466774,,60.49589483702459,61.16882306906236,0.5585053247931729,0.3942764587223179,-599557.9242102092,153304.61592690166,4188.129270107367,-4.958067069477367,"(4919.628722527558, 100453.55121896448, 9378.876497342471)","{'ShellAndTubePackedColumn': 511756984.1243761, 'Material': 64053519.24905248, 'VacuumPump': 1245342.844232955, 'CentrifugalCompressor': 19739481.763109427, 'WasteHeatRecoveryUnit': 1425129.64726847, 'SteamBoiler': 40075568.18445559, 'ForcedDraughtCoolingTower': 8130793.732186}","{'Fixed': 417899845.8239842, 'Electricity': 420016150.56811565, 'Heat': 8576280096.236501, 'Makeup-water': 800727011.1724349, 'Adsorbent': 115773656.6881369, 'npv_CC': 13088470345.554615}","{'CAC_CAPEX': -19.977597958770076, 'CAC_FixedOPEX': -8.164082819091643, 'CAC_VariableOPEX': -193.48866009650024}",,1134472632550.0205,297264.84002708446,4.923088386365844,0.000611678586555595,4.922209579623022,0.00026712815626841145,0.08797765731864182,73.64499648675483,8.600957456124503e-07,3.0821458767469556,0.007221189053228642,42.77959197340077,15.02067339320066,27.623317952958086,0.13560062724201832,0.00013663417847582817,0.0014271655527155688,0.015131834925046566,6.166546477112782e-10,1.357824635541756e-18,2.063600926381463e-10,4.1029455371530746e-10,1.3887520948619464e-08,3.3985391642986026e-09,1.0335520640340831e-08,7.995701422924642e-10,5.6563861693161506e-08,4.78082411123622e-07,0.005655766341510859,0.023696986522514254,-220.94136738265354,-295.3206772142426
