,MOF,purity,recovery,working_capacity,productivity,spec_heat,spec_cool,el_energy,product_out,n_out_vac,time_steps,rho_b,vac_decay,selectivity,CAPEX,OPEX,CAC,CCC,LCOC,LCOE,spec_heat_tot,spec_cool_tot,spec_power_tot,productivity_tea,CO2_avoided,CO2_captured,spec_CO2_emission,SPECCA,var_OPEX,CAPEX_bd,OPEX_bd,CAC_bd,power_output_ccs,CAC_approx_neg,SPECCA_approx_neg,Climate Change,Climate Change: Biogenic,Climate Change: Fossil,Climate Change: Land Use And Land Use Change,Water Use,Energy Resources: Non-Renewable,Material Resources: Metals/Minerals,Land Use,Acidification,Ecotoxicity: Freshwater,"Ecotoxicity: Freshwater, Inorganics","Ecotoxicity: Freshwater, Metals","Ecotoxicity: Freshwater, Organics",Eutrophication: Freshwater,Eutrophication: Marine,Eutrophication: Terrestrial,Human Toxicity: Carcinogenic,"Human Toxicity: Carcinogenic, Inorganics","Human Toxicity: Carcinogenic, Metals","Human Toxicity: Carcinogenic, Organics",Human Toxicity: Non-Carcinogenic,"Human Toxicity: Non-Carcinogenic, Inorganics","Human Toxicity: Non-Carcinogenic, Metals","Human Toxicity: Non-Carcinogenic, Organics",Particulate Matter Formation,Ozone Depletion,Photochemical Ozone Formation: Human Health,Ionising Radiation: Human Health,nCAC,eff_recovery
0,AlTBAPy,92.20867411212063,94.03494505529557,1.3610238480151675,8.947169449663265,0.09790410511579763,-0.09790410511579763,0.002778774033464998,"[51968.18161225552, 4391.13828108238]","[[1646.9420628609723, 5298.285102619794], [1479.8035556679217, 2529.0954834600675], [51968.18161225552, 4391.13828108238]]","[547.624126313938, 260.56397078862705, 14.729859614128724, 6.1035977818146385, 157.73827405251296, 108.48842407685466]",330.824403,"[[0, 101.325, 310.15, 0.1978], [1, 95.4378965519773, 310.15, 0.20913222496709374], [2, 90.45463415537331, 310.15, 0.21983824996583515], [3, 86.22516360542446, 310.15, 0.2298617399124922], [4, 82.62594482017165, 310.15, 0.23917073046732765], [5, 79.55512267524378, 310.15, 0.24775443062116623], [6, 76.92857024749713, 310.15, 0.2556195068407098], [7, 74.6766518478743, 310.15, 0.26278629308636514], [8, 72.7415816406921, 310.15, 0.26928523447789404], [9, 71.07527292370494, 310.15, 0.2751537468446111], [10, 69.63758967000055, 310.15, 0.28043357442340244], [11, 68.39492632993823, 310.15, 0.2851686571512715], [12, 67.31905442696929, 310.15, 0.2894034744736269], [13, 66.38618529619694, 310.15, 0.2931818087113489], [14, 65.5762075283286, 310.15, 0.29654586174581743]]",42.765776325681465,67.02121623067893,337.4976560569263,58.117097532058786,47.42196605916855,47.42196605916855,,2.2245978194810614,2.8598695371827234,0.42668935393074764,8.947169449663265,83928.6495660236,102857.17607061395,158.1376794456157,0.8365876846720899,"(1758.8522926215544, 1436.0993510239468, 294.2024462714276)","{'ShellAndTubePackedColumn': 21400697.135010254, 'Material': 1893814.972658087, 'VacuumPump': 207124.5142255135, 'CentrifugalCompressor': 10886179.251922728, 'WasteHeatRecoveryUnit': 1425129.64726847, 'SteamBoiler': 1267751.5288219778, 'ForcedDraughtCoolingTower': 1341981.5679788126}","{'Fixed': 36439679.98864341, 'Electricity': 150163032.8284742, 'Heat': 122607813.5710511, 'Makeup-water': 25117704.18869362, 'Adsorbent': 3422979.5184690673, 'npv_CC': 8781490959.604454}","{'CAC_CAPEX': 11.01645151562123, 'CAC_FixedOPEX': 5.085464853740673, 'CAC_VariableOPEX': 42.01518116269688}",,58.117097532058786,0.8365876846720899,0.18437509372372227,4.096308805116029e-05,0.18427297817958121,6.115245608986047e-05,0.010176252027859819,3.5302516163248803,7.003385064284606e-08,0.4340181744903465,0.00024293941964870558,0.6399765042921189,0.06241629837546277,0.5741866835669199,0.00337352234973583,8.012004259675133e-06,6.200115829870837e-05,0.000677301314617867,2.1267127433930426e-11,7.240922060870361e-20,1.0291736669165489e-11,1.0975390692355716e-11,3.899383734685282e-10,7.685310427496818e-11,3.0875372388535597e-10,1.9272293732436596e-11,1.0127466944210409e-09,2.542687428478557e-08,0.0002039282979653764,0.039357415987479265,58.14188077663391,76.69724324742037
1,AlTCPP,94.3136612583504,95.82025017593142,2.1425635914742704,10.586844351426079,0.07527723639791539,-0.07527723639791539,0.0026807545912699406,"[81169.12573462915, 4893.83126614422]","[[1692.7375180080342, 5517.685897643019], [1724.9140712388503, 2985.637565140352], [81169.12573462915, 4893.83126614422]]","[728.5673306671765, 403.99347659579155, 15.206509365574787, 6.317275797390932, 189.2880490457378, 113.7620198626814]",328.23349650000006,"[[0, 101.325, 310.15, 0.1978], [1, 95.73790903185692, 310.15, 0.208127594828127], [2, 90.97587856346094, 310.15, 0.2178856945855987], [3, 86.90474566500528, 310.15, 0.22703688180431067], [4, 83.41409119442658, 310.15, 0.2355614240897599], [5, 80.41278660268594, 310.15, 0.24345479227224945], [6, 77.82539888819299, 310.15, 0.2507249617533809], [7, 75.58928846885844, 310.15, 0.25738974089063804], [8, 73.65226586005019, 310.15, 0.26347429228355024], [9, 71.97069847181896, 310.15, 0.26900894396957137], [10, 70.50797961525244, 310.15, 0.2740273333248296], [11, 69.23328876756507, 310.15, 0.27856488781928146], [12, 68.12058595922774, 310.15, 0.2826576219642166], [13, 67.14779436409792, 310.15, 0.286341215941603], [14, 66.29613425224682, 310.15, 0.28965033549508024]]",50.16570486428766,60.24321559516421,294.02596767362445,48.23792866505074,41.25801236955205,41.25801236955205,,1.7104653144962119,2.3435874840122883,0.4194649095079371,10.586844351426077,88623.23646964639,103616.27023127339,130.45733213651894,0.5873846186653592,"(1716.5721449421746, 1064.1842017152733, 242.8703991122019)","{'ShellAndTubePackedColumn': 18363482.791792795, 'Material': 1612315.5364430111, 'VacuumPump': 145379.90049769677, 'CentrifugalCompressor': 10861091.151270894, 'WasteHeatRecoveryUnit': 1425129.64726847, 'SteamBoiler': 1021676.5241066094, 'ForcedDraughtCoolingTower': 1107834.4287985147}","{'Fixed': 33183766.198083017, 'Electricity': 146553340.7408524, 'Heat': 90855342.36620401, 'Makeup-water': 20735200.94208238, 'Adsorbent': 2914182.8205147954, 'npv_CC': 8846299063.073513}","{'CAC_CAPEX': 9.377783386186891, 'CAC_FixedOPEX': 4.385755399634501, 'CAC_VariableOPEX': 34.47438987922934}",,48.23792866505074,0.5873846186653592,0.1450040407913035,3.542454595762192e-05,0.14491073833166795,5.7877913677912715e-05,0.009434243424455636,2.847596037298592,6.207209157242565e-08,0.4123198039078896,0.00020784967098145876,0.5861293049938517,0.05154231636116733,0.5316799332264907,0.0029070554061935957,7.35729202423431e-06,5.2707026910338306e-05,0.0005765517232926221,1.778819485477387e-11,6.60876289571001e-20,9.062586680438454e-12,8.725608108247789e-12,3.5273864784750347e-10,6.663400699576968e-11,2.824749245550202e-10,1.511835024392785e-11,8.904862913353466e-10,1.948522292882725e-08,0.00016915320156104938,0.037767367709716455,48.25521328514414,81.92592671078776
2,AlTCPP-FF2,98.28010177697938,98.52250100972904,1.2234327447004965,9.125143157329227,0.10063427214066045,-0.10063427214066045,0.00248003545169307,"[46348.66693227367, 811.0999933341956]","[[317.28930624437703, 1114.7983495282642], [206.8946330423362, 288.208010012597], [46348.66693227367, 811.0999933341956]]","[482.6617845862779, 232.66165074935023, 3.628844374958466, 5.086079363205678, 142.96334397098687, 98.32186612777667]",328.23349650000006,"[[0, 101.325, 310.15, 0.1978], [1, 68.9381926376067, 310.15, 0.2884424527531093], [2, 62.71717784229719, 310.15, 0.31637136109582975], [3, 60.89928719808056, 310.15, 0.3255884361230122], [4, 60.30563135777588, 310.15, 0.3287162853669519], [5, 60.10479427656962, 310.15, 0.3297881519307727]]",4827.026603855578,65.87354067715908,334.77686221067955,57.82538321506109,47.01345656638779,47.01345656638779,,2.2866332530631914,2.9164568607362438,0.4067110348656161,9.125143157329225,83527.12735144858,102736.29085600821,160.50514533344003,0.8662752330352892,"(1684.727280237616, 1480.111363617899, 299.6711262911957)","{'ShellAndTubePackedColumn': 21124080.83250998, 'Material': 1854696.3070946282, 'VacuumPump': 51207.15879253483, 'CentrifugalCompressor': 10647078.791722527, 'WasteHeatRecoveryUnit': 1425129.64726847, 'SteamBoiler': 1295606.9708064513, 'ForcedDraughtCoolingTower': 1366926.5263933733}","{'Fixed': 35888376.90345116, 'Electricity': 143834566.9790594, 'Heat': 126365364.62847519, 'Makeup-water': 25584595.911655117, 'Adsorbent': 3352274.4110817173, 'npv_CC': 8771170314.416983}","{'CAC_CAPEX': 10.879855308988619, 'CAC_FixedOPEX': 5.032602278123829, 'CAC_VariableOPEX': 41.91292562794864}",,57.82538321506109,0.8662752330352892,0.187330646062918,4.061664042767988e-05,0.1872309591076009,5.9070314889360275e-05,0.009892734097916205,3.5646617714813664,6.897643727558724e-08,0.4187573457216597,0.00024201201275082102,0.6243142259361681,0.06265641362003045,0.5583096571480193,0.0033481551681184057,7.809760943824452e-06,6.196837257197211e-05,0.0006768463982069759,2.1273650305912194e-11,7.07099407543048e-20,1.0152156792360646e-11,1.1121493442841604e-11,3.8174770123365245e-10,7.614740397168362e-11,3.012682879941278e-10,1.9594815343792313e-11,9.999104494795885e-10,2.5997640545626222e-08,0.00020498659370465547,0.03785526395553063,57.85065763662061,80.066217243842
3,Ca-SQA,98.06863284550545,98.13065359258269,1.41274889724818,5.0610281698954935,0.09294108095864187,-0.09294108095864187,0.0025115274079228304,"[102527.44243340663, 2019.1791096156692]","[[899.6505881787957, 2892.1834624432768], [978.1191614641132, 1420.5454307368764], [102527.44243340663, 2019.1791096156692]]","[1004.913598455325, 515.6476457644334, 8.469521459789215, 9.573071624557418, 289.0794399689347, 182.14391963761017]",628.7831550000001,"[[0, 101.325, 310.15, 0.1978], [1, 88.7703168669123, 310.15, 0.2208083285899428], [2, 80.44852684744106, 310.15, 0.2400125561987649], [3, 75.16780949592717, 310.15, 0.25614456352530995], [4, 71.33750223645356, 310.15, 0.2693109405495611], [5, 68.5269249221239, 310.15, 0.279889478798035], [6, 66.44461761711015, 310.15, 0.2882921623607371], [7, 64.88966613972183, 310.15, 0.2949111286968738], [8, 63.72112322741111, 310.15, 0.3000933183719833], [9, 62.83851825751507, 310.15, 0.3041324399048307], [10, 62.16921970647557, 310.15, 0.3072701782738514]]",149.72880748489268,65.93670466834406,323.73991501170764,55.49772608101946,45.85067184668546,45.85067184668546,,2.111826933061315,2.7422729894485673,0.40796123493124503,5.061028169895493,84716.70171088222,102541.23040462821,153.4911455726285,0.7777840072154159,"(1676.9113727125066, 1347.6587456133004, 281.23843427364943)","{'ShellAndTubePackedColumn': 19844282.242387094, 'Material': 3337708.3199289544, 'VacuumPump': 59145.76292963178, 'CentrifugalCompressor': 10640783.338196537, 'WasteHeatRecoveryUnit': 1425129.64726847, 'SteamBoiler': 1211041.0530965957, 'ForcedDraughtCoolingTower': 1282847.2359276647}","{'Fixed': 35918718.66955964, 'Electricity': 143167279.34882414, 'Heat': 115057145.67849346, 'Makeup-water': 24010894.158438303, 'Adsorbent': 6032747.328903543, 'npv_CC': 8754516915.443693}","{'CAC_CAPEX': 10.737368486595537, 'CAC_FixedOPEX': 4.966130580237096, 'CAC_VariableOPEX': 39.79422701418682}",,55.49772608101946,0.7777840072154159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,CALF20,97.20441159505512,97.57193319192007,1.1778900599393936,4.9318369490351355,0.08951188144274369,-0.08951188144274368,0.0025486676242614257,"[87970.43180857078, 2530.0201411285057]","[[1031.4810178703874, 3315.356136791306], [1054.8521085048383, 1639.5026472191967], [87970.43180857078, 2530.0201411285057]]","[859.8021912730528, 439.0524115145079, 9.51823494153668, 7.975437076757898, 251.00638166512817, 152.24972607512217]",647.079615,"[[0, 101.325, 310.15, 0.1978], [1, 91.1662716713803, 310.15, 0.21768351937908847], [2, 83.74713186476421, 310.15, 0.2351431745980933], [3, 78.24947278053624, 310.15, 0.2501390650394468], [4, 74.12392995547533, 310.15, 0.2627994218352843], [5, 70.99444053700451, 310.15, 0.2733478598216802], [6, 68.59877459772353, 310.15, 0.28204855402788176], [7, 66.75084135014484, 310.15, 0.2891702420661719], [8, 65.31640136181551, 310.15, 0.2949653899841903], [9, 64.19715691645527, 310.15, 0.29965995180521177], [10, 63.32015444945722, 310.15, 0.303449829361387]]",107.1237847576204,66.39616422294557,321.3168427832106,54.45261085939064,45.28678656069436,45.28678656069436,,2.0339079351131724,2.664937978532143,0.41057827067192304,4.931836949035136,85937.87169647278,103331.27697856522,146.29085084626908,0.7406040561733952,"(1695.5603134469875, 1301.6376271744343, 275.4129542130995)","{'ShellAndTubePackedColumn': 19940768.52661154, 'Material': 3451530.3621872845, 'VacuumPump': 79011.00832720454, 'CentrifugalCompressor': 10730507.019482201, 'WasteHeatRecoveryUnit': 1425129.64726847, 'SteamBoiler': 1181120.4286127624, 'ForcedDraughtCoolingTower': 1256274.7618882288}","{'Fixed': 36139426.925648235, 'Electricity': 144759443.4614536, 'Heat': 111128066.04632133, 'Makeup-water': 23513540.425413832, 'Adsorbent': 6238475.198323512, 'npv_CC': 8821967599.11725}","{'CAC_CAPEX': 10.658548224814192, 'CAC_FixedOPEX': 4.925643836938123, 'CAC_VariableOPEX': 38.86841879763833}",,54.45261085939064,0.7406040561733952,0.16887001667471419,3.843389041322515e-05,0.16877309379390504,5.84889903959244e-05,0.009718629528781457,3.2520389753137806,6.661508437252656e-08,0.41540363568415806,0.0002293504584712472,0.6078554065696327,0.057956106824761135,0.5467322806367111,0.0031670191081604134,7.613462737733404e-06,5.8993701634620374e-05,0.0006453352100885471,1.9794950474087073e-11,6.87608743231219e-20,9.705447425539014e-12,1.0089502979787184e-11,3.696495827585345e-10,7.212216236052306e-11,2.9341166839248167e-10,1.7747114808844265e-11,9.559742436920847e-10,2.3582814266339502e-08,0.00019213330650636872,0.037750692145277424,54.488211795109926,81.09495920681643
5,CAU10,93.61474962003177,95.40628152062513,1.7785746563113967,6.941615080267582,0.08629627997456335,-0.08629627997456335,0.0027425615409216917,"[96500.77315717173, 6582.0995192536175]","[[1792.2014644753851, 6065.360768251878], [2716.6476824453075, 4956.065592685672], [96500.77315717173, 6582.0995192536175]]","[922.3889093075747, 468.32925444934205, 16.333214347039945, 9.42720166434973, 255.34101615441742, 172.95822269242564]",470.09371500000003,"[[0, 101.325, 310.15, 0.1978], [1, 96.39607385691185, 310.15, 0.20577357119766948], [2, 92.13804926294894, 310.15, 0.2132834130065876], [3, 88.4447312796827, 310.15, 0.2203274155319455], [4, 85.22931378265368, 310.15, 0.2269100198312507], [5, 82.42039360574185, 310.15, 0.23304099404573084], [6, 79.9588856138683, 310.15, 0.23873429589770442], [7, 77.79561852744929, 310.15, 0.24400704959490743], [8, 75.88944885769938, 310.15, 0.24887865083903407], [9, 74.20577190613257, 310.15, 0.25337000286966965], [10, 72.71533908209008, 310.15, 0.25750287895678675], [11, 71.39331303134094, 310.15, 0.26129940195095286], [12, 70.21850851077261, 310.15, 0.2647816288191497], [13, 69.1727791860411, 310.15, 0.2679712269775006], [14, 68.24051970572019, 310.15, 0.2708892292010512]]",43.703377085922845,65.72193064006791,325.77416241607307,53.179371073214064,44.440227894270684,44.440227894270684,,1.9608423572605045,2.594425220731543,0.4215413181039185,6.941615080267582,88802.26150366239,106265.17100405511,129.4017600019907,0.709654235498403,"(1782.4172292684846, 1288.680999360377, 275.7385986416021)","{'ShellAndTubePackedColumn': 20054992.17241306, 'Material': 2521848.711074047, 'VacuumPump': 163377.1681461788, 'CentrifugalCompressor': 11082058.11003952, 'WasteHeatRecoveryUnit': 1425129.64726847, 'SteamBoiler': 1172643.5503126062, 'ForcedDraughtCoolingTower': 1257760.1636117832}","{'Fixed': 35815548.75882601, 'Electricity': 152174902.93840805, 'Heat': 110021886.4450265, 'Makeup-water': 23541342.50703989, 'Adsorbent': 4558120.308114471, 'npv_CC': 9072450500.218767}","{'CAC_CAPEX': 10.21000476435042, 'CAC_FixedOPEX': 4.724043867559436, 'CAC_VariableOPEX': 38.24532244130421}",,53.179371073214064,0.709654235498403,0.16471606612028275,3.81964450507483e-05,0.1646184878281294,5.938184710264729e-05,0.009803164804158337,3.1886831895291614,6.622614350856863e-08,0.4221694233320918,0.00022515133919905595,0.6123249081334383,0.05700714953457949,0.5521746793530652,0.003143079245793242,7.674503827701122e-06,5.726434015607724e-05,0.0006258313323278292,1.955022702678758e-11,6.917656221856916e-20,9.696737293151456e-12,9.853489664459561e-12,3.7125795344976324e-10,7.173240909510169e-11,2.954962273924189e-10,1.725637986053715e-11,9.516208323915533e-10,2.272596210094395e-08,0.00018635995597542866,0.03846084373480322,53.203738383731654,79.69133414538352
6,CAU21,86.71343922131692,90.96572199791999,0.2716003482563204,2.5604904290844406,0.34526372155739055,-0.34526372155739066,0.002983486097302274,"[14780.47781892438, 2264.720655098167]","[[770.3257507437654, 2540.2543421942646], [502.5932263155195, 905.5526802693588], [14780.47781892438, 2264.720655098167]]","[381.8648344146997, 70.94740234182042, 7.436774879522705, 7.533633753936299, 150.51865813036497, 145.42836530905532]",471.50239500000004,"[[0, 101.325, 310.15, 0.1978], [1, 87.44555140202493, 310.15, 0.22290342484976514], [2, 78.61630604855391, 310.15, 0.2430433918147299], [3, 72.82539286234613, 310.15, 0.2586479297971576], [4, 68.93695395921851, 310.15, 0.27045278808966783], [5, 66.27916037033383, 310.15, 0.27923923269410156], [6, 64.43828760482027, 310.15, 0.2857071410348054], [7, 63.15070654119506, 310.15, 0.29043242199484876], [8, 62.24364635235516, 310.15, 0.2938666045625456], [9, 61.60130996452151, 310.15, 0.2963534083700669]]",40.35944849594859,140.3826094017947,851.0040655446655,285.023862861536,110.80136072442131,110.80136072442131,,7.845155432594344,8.484486312476157,0.44333840602755087,2.56049042908444,41766.423421097585,107439.36052373727,406.73571096050983,6.856317434231363,"(2217.5393205622904, 5863.4415942843925, 911.705194608845)","{'ShellAndTubePackedColumn': 54806602.28948688, 'Material': 6912400.128101565, 'VacuumPump': 327695.9800736081, 'CentrifugalCompressor': 11446230.988347491, 'WasteHeatRecoveryUnit': 1425129.64726847, 'SteamBoiler': 3525417.4770052996, 'ForcedDraughtCoolingTower': 2036648.8580819254}","{'Fixed': 71679920.3729554, 'Electricity': 189323703.41099262, 'Heat': 500594720.9461415, 'Makeup-water': 77837358.85171095, 'Adsorbent': 12493830.91989442, 'npv_CC': 9172697610.297625}","{'CAC_CAPEX': 46.368781316768484, 'CAC_FixedOPEX': 20.101874872690896, 'CAC_VariableOPEX': 218.55320667207656}",,285.023862861536,6.856317434231363,0.6123682286998133,9.9056628257389e-05,0.6121793654918432,8.9806579712835e-05,0.017301921710056452,10.901029088819579,1.526888142097467e-07,0.6193970320788731,0.0006161793745962608,1.167672041694934,0.17911754826054713,0.9802694332594828,0.008285060174903259,1.4390756249008975e-05,0.0001619381449402078,0.001760967231635772,5.84012686176282e-11,1.3483421165701302e-19,2.3038510854953012e-11,3.536275762784098e-11,7.627473945369343e-10,1.8376368392659294e-10,5.669761072277146e-10,6.468204829756579e-11,2.2824501243289276e-09,9.139984966115446e-08,0.0005801718512994192,0.051777623205536284,285.84179349585725,35.26120394565408
7,CuAlPyC,96.40998235224669,97.43549607209472,1.322121560586947,5.290222494033706,0.09501644018869536,-0.09501644018869536,0.002584240844587883,"[89490.29082291234, 3332.349156366643]","[[1012.2635623746678, 3399.408463587416], [1246.3299767097442, 2163.733784327818], [89490.29082291234, 3332.349156366643]]","[899.7046198871428, 432.55498928773704, 9.660665421385708, 8.773067082213988, 269.74787870078427, 178.96801939502177]",586.449045,"[[0, 101.325, 310.15, 0.1978], [1, 91.14594843779716, 310.15, 0.2138203844531674], [2, 83.78059178724862, 310.15, 0.22753767254406637], [3, 78.34352490688873, 310.15, 0.2391139879930451], [4, 74.26439091090619, 310.15, 0.24877490520034645], [5, 71.16367311006962, 310.15, 0.2567682875468655], [6, 68.98360796727708, 310.15, 0.26343992902434515], [7, 67.2592048594119, 310.15, 0.26902545409237366], [8, 65.8813198418836, 310.15, 0.2736839141846775], [9, 64.77528855045135, 310.15, 0.27755647314060056], [10, 63.88413151148421, 310.15, 0.28076728520377325]]",109.39858503482282,69.16859488793996,342.7221332072028,56.69390524063653,46.56718108023776,46.56718108023776,,2.15898368519501,2.7901959879687026,0.4125251872623003,5.290222494033707,87637.42506635474,106695.4828913585,136.2698993729085,0.807364772416629,"(1765.326827391148, 1447.18789915536, 297.7461841510887)","{'ShellAndTubePackedColumn': 21179628.41017708, 'Material': 3322467.237881518, 'VacuumPump': 89089.55643719209, 'CentrifugalCompressor': 11004499.377229067, 'WasteHeatRecoveryUnit': 1425129.64726847, 'SteamBoiler': 1274791.7882472582, 'ForcedDraughtCoolingTower': 1358146.052593145}","{'Fixed': 37471205.38377199, 'Electricity': 150715799.98307502, 'Heat': 123554504.78785345, 'Makeup-water': 25420252.861934345, 'Adsorbent': 6005199.80581344, 'npv_CC': 9109188626.740644}","{'CAC_CAPEX': 10.88827303147857, 'CAC_FixedOPEX': 5.00811615573478, 'CAC_VariableOPEX': 40.79751605342318}",,56.69390524063653,0.807364772416629,0.17915776923882396,4.0102048817773415e-05,0.17905814002431192,5.952716569425965e-05,0.009935418678715334,3.429955113775478,1.2783453117633826e-07,0.4218311035873025,0.00024013590106676132,0.6439080380845013,0.0631078719556497,0.5774839491056948,0.003316217023156343,7.976251837141054e-06,6.114789894121769e-05,0.0006687462160032199,2.1153328203200967e-11,7.056806599114904e-20,1.0471738258793162e-11,1.0681589873839747e-11,4.1159515188292365e-10,7.490965993424237e-11,3.3083939883615836e-10,2.0377882057143046e-11,9.925564949035494e-10,2.5049983041238938e-08,0.0002006347242181319,0.03815541618081994,56.73097622798415,79.97916995114004
8,CuAlPyC-FF2,95.17363721303028,97.02958835806038,1.1312802077821857,5.050549267820211,0.10296877125098505,-0.10296877125098505,0.0026278715796577137,"[76572.83400755397, 3883.0950184203984]","[[1001.8521347655105, 3324.871382072857], [1210.513017529956, 2120.1153478160772], [76572.83400755397, 3883.0950184203984]]","[806.3694723195094, 365.1865879621931, 9.527203236597032, 8.705632494790569, 246.3771590357223, 176.57288959020644]",586.449045,"[[0, 101.325, 310.15, 0.1978], [1, 90.36161159622729, 310.15, 0.2156577794889203], [2, 82.79397518650501, 310.15, 0.2304073180907494], [3, 77.68156804362135, 310.15, 0.24231863787146943], [4, 73.96313113714014, 310.15, 0.2521329613371143], [5, 71.1088153541531, 310.15, 0.2603066267121545], [6, 68.88991995729447, 310.15, 0.26709093789958754], [7, 67.14748196774138, 310.15, 0.2727075010927029], [8, 65.76805152211539, 310.15, 0.2773480548384302], [9, 64.66883514602794, 310.15, 0.28117628513161597], [10, 63.7882610251925, 310.15, 0.2843305858862085]]",79.09618233020608,72.4573499671404,364.5545962463052,60.37216413130853,48.731117048196836,48.731117048196836,,2.3396782364606303,2.971239059103135,0.4156241548568666,5.0505492678202115,87285.27089476906,108136.25912767193,138.3462801015976,0.9019861187218633,"(1811.6260174355673, 1610.4943470470985, 321.34710977438425)","{'ShellAndTubePackedColumn': 22484279.237766184, 'Material': 3527128.979229961, 'VacuumPump': 103306.72953695596, 'CentrifugalCompressor': 11156718.801680187, 'WasteHeatRecoveryUnit': 1425129.64726847, 'SteamBoiler': 1376803.4338796134, 'ForcedDraughtCoolingTower': 1465799.8385323733}","{'Fixed': 39051007.98220168, 'Electricity': 154668620.13956997, 'Heat': 137496887.3282986, 'Makeup-water': 27435195.551562373, 'Adsorbent': 6375116.064246367, 'npv_CC': 9232195732.101122}","{'CAC_CAPEX': 11.451994746397602, 'CAC_FixedOPEX': 5.240317759840003, 'CAC_VariableOPEX': 43.67985162507091}",,60.37216413130853,0.9019861187218633,0.19338353573051326,4.2135059243906e-05,0.19328062917520614,6.077149606323884e-05,0.010213786703937846,3.677045385391433,1.335833718609422e-07,0.43008394677175443,0.00025320650445853177,0.6648723356919363,0.0671681234235468,0.5942163585717144,0.0034878536966748475,8.22773020067086e-06,6.462134755882385e-05,0.0007064860676022801,2.243726441605144e-11,7.291320408682109e-20,1.0942441561745075e-11,1.149482278139316e-11,4.268337004339369e-10,7.864314132882615e-11,3.4201306614910953e-10,2.195585755347361e-11,1.0377046669820536e-09,2.720420867902956e-08,0.00021349487646510877,0.038765077838780325,60.41423552187251,78.26566349090241
9,DAZMID,44.07077330417295,75.27759971979962,0.0316300118209269,0.394276458722318,2.6624122325984847,-2.6624122325984847,0.00568254846922126,"[1708.2079264636695, 2167.848240451658]","[[252.85434950154428, 1061.758580951848], [22.635341041428006, 114.9680244382685], [1708.2079264636695, 2167.848240451658]]","[288.80253952857, 5.746414389414746, 3.4018873131345737, 7.038217955702052, 134.54234853930748, 138.07367133101116]",467.915175,"[[0, 101.325, 310.15, 0.1978], [1, 66.82085662309076, 310.15, 0.16659342336865066], [2, 61.33042650498146, 310.15, 0.1611895864309717], [3, 60.264164895225235, 310.15, 0.16011318740147168], [4, 60.052638574265345, 310.15, 0.1598985434029985]]",92.04935475093528,1127.5713513072608,7828.9863046055125,-193.94145610665967,699.6268481158153,699.6268481158153,,60.49589483702459,61.16882306906236,0.5585053247931729,0.3942764587223179,-553032.9997293489,153304.61592690166,3913.807781423053,-5.884268975309071,"(8018.751271743557, 66653.31267572993, 9378.876497342471)","{'ShellAndTubePackedColumn': 511756984.1243761, 'Material': 64053519.24905248, 'VacuumPump': 1245342.844232955, 'CentrifugalCompressor': 19739481.763109427, 'WasteHeatRecoveryUnit': 1425129.64726847, 'SteamBoiler': 40075568.18445559, 'ForcedDraughtCoolingTower': 8130793.732186}","{'Fixed': 545890769.7810384, 'Electricity': 684605532.5472876, 'Heat': 5690565160.837959, 'Makeup-water': 800727011.1724349, 'Adsorbent': 115773656.6881369, 'npv_CC': 13088470345.554615}","{'CAC_CAPEX': -28.12759786399193, 'CAC_FixedOPEX': -11.561682597810446, 'CAC_VariableOPEX': -154.25217564485726}",,915704525451.7692,325419.4922629518,4.614635268878867,0.000639979768018073,4.613642679441025,0.00035260966982447744,0.08291136980373755,79.7920398705529,9.177705172260655e-07,2.316094153583608,0.0040965197214328074,6.054003724163546,1.2684070913205363,4.731603029546987,0.053993603296017836,7.343329160849901e-05,0.0010942029482521663,0.011870166589475829,4.0471637853739716e-10,7.130083798156501e-19,1.4137167092793105e-10,2.6334470689645777e-10,4.219315720688242e-09,1.179287729418863e-09,2.957184052745552e-09,4.884490689061033e-10,1.4086882825192475e-08,7.044441982817314e-07,0.00409312752455367,0.16445507395573805,-193.55392621198402,-272.1010669037337
